seq	kingdom	phylum	class	order	family	genus	species
seq_00989	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus robur
seq_01098	Plantae	Bryophyta	Bryopsida	Hypnales	Amblystegiaceae	Amblystegium	Amblystegium serpens
seq_01109	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Lipandra	Lipandra polysperma
seq_01113	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	Galium album
seq_01151	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Clematis	Clematis vitalba
seq_01153	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phleum	Phleum sp.
seq_01158	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer pseudoplatanus
seq_01197	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha aquatica
seq_01217	Plantae	Bryophyta	Bryopsida	Dicranales	Ditrichaceae	Ceratodon	Ceratodon purpureus
seq_01254	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Mercurialis	Mercurialis annua
seq_01276	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis	Crepis sp.
seq_01362	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Lysimachia	Lysimachia vulgaris
seq_01376	Plantae	Bryophyta	Bryopsida	Hypnales	Plagiotheciaceae	Herzogiella	Herzogiella seligeri
seq_01377	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Leptolejeunea	Leptolejeunea convexistipa
seq_01386	Plantae	Bryophyta	Bryopsida	Hypnales	Pylaisiaceae	Calliergonella	Calliergonella cuspidata
seq_01391	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Medicago	Medicago lupulina
seq_01435	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Arrhenatherum	Arrhenatherum elatius
seq_01461	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Funaria	Funaria hygrometrica
seq_01462	Plantae	Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	Juglans regia
seq_01468	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Epilobium	Epilobium sp.
seq_01469	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies alba
seq_01522	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Glechoma	Glechoma sp.
seq_01537	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_01573	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urtica	Urtica australis
seq_01585	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Hypnum	Hypnum sp.
seq_01634	Plantae	Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Carya	Carya illinoinensis
seq_01650	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Sparganium	Sparganium erectum
seq_01664	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus foliosus
seq_01684	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia lens
seq_01725	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago media
seq_01739	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus padus
seq_01744	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanea	Castanea sativa
seq_01753	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Glyceria	Glyceria fluitans
seq_01761	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	Galium verum
seq_01804	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Triticum	Triticum aestivum
seq_01823	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa sp.
seq_01841	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anethum	Anethum graveolens
seq_01850	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranellaceae	Microcampylopus	Microcampylopus khasianus
seq_01858	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Carpinus	Carpinus betulus
seq_01875	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix	Salix sp.
seq_01886	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Lobularia	Lobularia maritima
seq_01921	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia sepium
seq_01960	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus persica
seq_01966	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium	Eupatorium cannabinum
seq_02026	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	Galium aparine
seq_02031	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus pubescens
seq_02099	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium album
seq_02104	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa pratensis
seq_02152	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Trisetum	Trisetum flavescens
seq_02179	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica sylvestris
seq_02221	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Hydrophyllaceae	Phacelia	Phacelia tanacetifolia
seq_02315	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa trivialis
seq_02335	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus idaeus
seq_02423	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus	Ranunculus repens
seq_02461	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Glyceria	Glyceria notata
seq_02542	Plantae	Tracheophyta	Magnoliopsida	Cornales	Cornaceae	Cornus	Cornus sanguinea
seq_02561	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Robinia	Robinia pseudoacacia
seq_02570	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Lophocoleaceae	Lophocolea	Lophocolea heterophylla
seq_02680	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus vestitus
seq_02707	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Potentilla	Potentilla sp.
seq_02730	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis sativus
seq_02733	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium	Cirsium arvense
seq_02740	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosa	Rosa multiflora
seq_02756	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	Myosotis sp.
seq_02839	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex longifolius
seq_02849	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Holcus	Holcus mollis
seq_02910	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex conglomeratus
seq_02935	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus	Daucus carota
seq_02955	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Hedera	Hedera helix
seq_02968	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sonchus	Sonchus sp.
seq_03007	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Amaranthus	Amaranthus blitum
seq_03030	Plantae	Bryophyta	Bryopsida	Hypnales	Pylaisiadelphaceae	Platygyrium	Platygyrium repens
seq_03054	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer campestre
seq_03078	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea abies
seq_03082	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Secale	Secale cereale
seq_03134	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	Trifolium alexandrinum
seq_03216	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Styphnolobium	Styphnolobium japonicum
seq_03224	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Geum sp.
seq_03228	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus oleraceus
seq_03293	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Imbribryum	Imbribryum alpinum
seq_03295	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Alopecurus	Alopecurus myosuroides
seq_03327	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys	Stachys sylvatica
seq_03344	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Knautia	Knautia sp.
seq_03368	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum	Heracleum sphondylium
seq_03435	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus nigricans
seq_03484	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	Lotus sp.
seq_03513	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Rhinanthus	Rhinanthus minor
seq_03595	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis	Crepis nicaeensis
seq_03749	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Melilotus	Melilotus sp.
seq_03769	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
seq_03777	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Hypochaeris	Hypochaeris radicata
seq_03830	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus cerasus
seq_03893	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium multiflorum
seq_03954	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	Myosotis scorpioides
seq_03996	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium suecicum
seq_04050	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phalaris	Phalaris arundinacea
seq_04054	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Circaea	Circaea lutetiana
seq_04085	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Galeopsis	Galeopsis tetrahit
seq_04147	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Agrostis	Agrostis stolonifera
seq_04189	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamium	Lamium galeobdolon
seq_04197	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica polita
seq_04252	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Rhinanthus	Rhinanthus sp.
seq_04264	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Viburnaceae	Sambucus	Sambucus nigra
seq_04286	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Elymus	Elymus repens
seq_04308	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Alopecurus	Alopecurus pratensis
seq_04339	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum	Hypericum sp.
seq_04345	Plantae	Tracheophyta	Magnoliopsida	Proteales	Platanaceae	Platanus	Platanus hispanica
seq_04427	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	Vicia faba
seq_04445	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Bellis	Bellis perennis
seq_04461	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	NA	NA
seq_04549	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Viburnaceae	Viburnum	Viburnum opulus
seq_04588	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Tilia	Tilia sp.
seq_04638	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	Lathyrus pratensis
seq_04707	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Aegopodium	Aegopodium podagraria
seq_04723	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Barbula	Barbula unguiculata
seq_04768	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Betula	Betula pendula
seq_04886	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Capsella	Capsella bursa-pastoris
seq_05015	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Panicum	Panicum dichotomiflorum
seq_05044	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	Populus sp.
seq_05212	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Lysimachia	Lysimachia nummularia
seq_05275	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus subhirtella
seq_05282	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	Plantago lanceolata
seq_05285	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica	Veronica filiformis
seq_05429	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Echium	Echium vulgare
seq_05481	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium rigidum
seq_05510	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia vulgaris
seq_05528	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea cyanus
seq_05537	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea jacea
seq_05550	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	Lotus alpinus
seq_05562	Plantae	Bryophyta	Bryopsida	Hypnales	Plagiotheciaceae	Plagiothecium	Plagiothecium sp.
seq_05583	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Chenopodium	Chenopodium ficifolium
seq_05701	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Oxyrrhynchium	Oxyrrhynchium speciosum
seq_05763	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	Quercus sp.
seq_05765	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lapsana	Lapsana communis
seq_05807	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Triticum	Triticum monococcum
seq_05856	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum sp.
seq_05915	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum glanduliferum
seq_05964	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis	Crepis biennis
seq_05969	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Allium sp.
seq_05983	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex acutiformis
seq_06025	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phragmites	Phragmites australis
seq_06068	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium	Geranium endressii
seq_06141	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Galinsoga	Galinsoga sp.
seq_06162	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Solidago	Solidago sp.
seq_06200	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Alopecurus	Alopecurus sp.
seq_06215	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex thyrsiflorus
seq_06245	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Poterium	Poterium sanguisorba
seq_06266	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Sanguisorba	Sanguisorba officinalis
seq_06297	Plantae	Marchantiophyta	Marchantiopsida	Marchantiales	Monocleaceae	Monoclea	Monoclea gottschei
seq_06323	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	Alchemilla sp.
seq_06475	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea sp.
seq_06509	Plantae	Bryophyta	Bryopsida	Hypnales	Pylaisiaceae	Pylaisia	Pylaisia polyantha
seq_06543	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Epilobium	Epilobium montanum
seq_06592	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Rosulabryum	Rosulabryum capillare
seq_06845	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex graminifolius
seq_06911	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Papaver	Papaver rhoeas
seq_06988	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Aesculus	Aesculus hippocastanum
seq_07093	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	Erigeron annuus
seq_07111	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Polygonum	Polygonum aviculare
seq_07130	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	Galium sp.
seq_07210	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Bistorta	Bistorta officinalis
seq_07212	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Scutellaria	Scutellaria galericulata
seq_07218	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Arctium	Arctium sp.
seq_07228	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Tortella	Tortella sp.
seq_07229	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bromus	Bromus sp.
seq_07286	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis	Myosotis nemorosa
seq_07321	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Viburnaceae	Sambucus	Sambucus ebulus
seq_07337	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Astrantia	Astrantia major
seq_07361	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Glechoma	Glechoma hirsuta
seq_07383	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Matricaria	Matricaria chamomilla
seq_07459	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	Alchemilla xanthochlora
seq_07492	Plantae	Tracheophyta	Magnoliopsida	Proteales	Platanaceae	Platanus	Platanus sp.
seq_07569	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fallopia	Fallopia convolvulus
seq_07669	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lotus	Lotus tenuis
seq_07687	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Lonicera	Lonicera pileata
seq_07690	Plantae	Bryophyta	Polytrichopsida	Tetraphidales	Tetraphidaceae	Tetraphis	Tetraphis pellucida
seq_07744	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Festuca	Festuca sp.
seq_07769	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea	Centaurea sp.
seq_07807	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Viola sp.
seq_07817	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica juncea
seq_07882	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Allium ampeloprasum
seq_08086	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bromus	Bromus erectus
seq_08088	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	Symphytum asperum
seq_08114	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	Linum sp.
seq_08217	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_08228	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium giganteum
seq_08239	Plantae	Tracheophyta	Liliopsida	Zingiberales	Musaceae	Musa	Musa acuminata
seq_08280	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Symphytum	Symphytum sp.
seq_08311	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Crassulaceae	Petrosedum	Petrosedum rupestre
seq_08394	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	Phaseolus vulgaris
seq_08432	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus sp.
seq_08474	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Avena	Avena sativa
seq_08566	Plantae	Tracheophyta	Liliopsida	Alismatales	Potamogetonaceae	Potamogeton	Potamogeton natans
seq_08572	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Glechoma	Glechoma hederacea
seq_08611	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	NA	NA
seq_08653	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Ptychostomum	Ptychostomum pallescens
seq_08703	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum villosum
seq_08751	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Lolium	Lolium temulentum
seq_08764	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	Alnus alnobetula
seq_08790	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalis	Digitalis grandiflora
seq_08791	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
seq_08804	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	Erigeron canadensis
seq_08811	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Orthotrichum	Orthotrichum shevockii
seq_08833	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Pimpinella	Pimpinella major
seq_08834	Plantae	Tracheophyta	Magnoliopsida	Rosales	Ulmaceae	Ulmus	Ulmus sp.
seq_08851	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	Beta	Beta vulgaris
seq_08888	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Cynosurus	Cynosurus cristatus
seq_08949	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Polygonum	Polygonum arenastrum
seq_09044	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Brachypodium	Brachypodium sp.
seq_09058	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	NA	NA
